restaurant_id,restaurant_name,restaurant_website,address1,city,state,zip code
1,Rosie’s Trattoria,,1181 Sussex Tpke,Randolph,NJ,07869
2,SubUrban Bar & Kitchen,sbknj.com,500 NJ-10,Randolph,NJ,07869
3,4 Seasons Mediterranean Restaurant,4seasonswharton.com,322 S Main St,Wharton,NJ,07885
4,Quiet Man Pub,quietmanpub.com,64 E Mcfarlan St,Dover,NJ,07801
5,El Lechon De Negron,,23 E Main St,Denville,NJ,07834
6,The Corner Bistro,thecornerbistronj.com,477 NJ-10,Randolph,NJ,07869
7,ALEV Mediterranean Grill,alevmediterraneangrill.com,76 Rte 46,Rockaway,NJ,07866
8,Mr Crabby’s Craft Kitchen & Bar,mrcrabbys.com,399 NJ-10,Randolph,NJ,07869
9,Kabab Paradise,kababparadise.com,124 Rte 10 W,Randolph,NJ,07869
10,Takashi Japanese Cuisine,,23 Washington St,Morristown,NJ,07960
11,The Windlass,thewindlass.com,45 Nolans Point Park Rd,Lake Hopatcong,NJ,07849
12,Noches de Colombia,nochesdecolombiarandolph.com,140 Route 10 W,Randolph,NJ,07869
13,Black River Barn,blackriverbarn.com/index1.html,1178 Rte 10 W,Randolph,NJ,07869
14,American Heroes Smokehouse,americanheroesbbq.com,1594 Route 10,Randolph,NJ,07869
15,Taphouse 15,taphouse15.com,75 State Rte 15 S,Jefferson,NJ,07885
16,Thai Nam Phet,thainamphet.com,296 US Hwy 46,Rockaway,NJ,07866
17,La Strada Ristorante,,1105 State Route 10 E,Randolph,NJ,07869
18,Ichiban,,1034 Rt 46 E,Ledgewood,NJ,07852
19,Zuzannas Gourmet,zuzannasgourmet.com,1152 State Rt 10,Randolph,NJ,07869
20,Barka,barkaseafoodrestaurant.com,60 Route 46,Mountain Lakes,NJ,07046
21,Randolph Diner,therandolphdiner.com,517 State Rte 10,Randolph,NJ,07869
22,The Pasta Shop,thepastashopdenville.com,13 First Ave,Denville,NJ,07834
23,JA Spice Island Jerk and American Food,Www.jaspice.com,67 Main St,Netcong,NJ,07857
24,Bruno’s Italian Bistro,brunositalianbistronj.com,2900 NJ-10,Morris Plains,NJ,07950
25,Lotus Thai Cuisine,thelotusthai.com,540 State Hwy 10 W,Randolph,NJ,07869
26,New Horizon Chinese Restaurant,,124 State Route 10,Randolph,NJ,07869
27,Caffe Navona,caffenavona.com,147 Us Hwy 46,Rockaway,NJ,07866
28,Miller’s Ale House - Rockaway,millersalehouse.com,325 Mt Pleasant Ave,Rockaway,NJ,07866
29,Cheek’s Chicken,cheeksnj.com,286 Rt 46 E,Rockaway,NJ,07866
30,Istanbul Turkish Mediterranean Cuisine,istanbulcuisinenj.com,286 US 206,Flanders,NJ,07836
31,Cinders Wood Fire Grill,cinderswoodfiregrill.com,319 US 46,Mine Hill Township,NJ,07803
32,Rocco’s Burgers Dogs and Fries,roccos-burgers-dogs-and-fries.…,405 US-46,Roxbury Township,NJ,07847
33,Pren Kitchen,prenkitchen.com,52 Main StSte 1,Chester,NJ,07930
34,South + Pine American Eatery,southandpine.com,90 South St,Morristown,NJ,07960
35,Fig & Lily Garden,figandlilygarden.com,2 Cattano Ave,Morristown,NJ,07960
36,Cinnamon,cinnamonindianrestaurant.com,2920 State Route 10,Morris Plains,NJ,07950
37,Beanbury,beanburycoffee.com,37 Route 10 E,Succasunna,NJ,07876
38,Bucky’s,,Picatinny ArsenalBldg 337,Rockaway Township,NJ,07806
39,Jai-Alai,jaialairestaurant.com,73 W Blackwell St,Dover,NJ,07801
40,Riviera Maya,rivieramayanj.com,116 Rt 46 E,Rockaway,NJ,07866
41,La Bamba Grill,bambagrill.com,150 E McFarlan St,Dover,NJ,07801
42,Bollywood Grill 2,bollywoodgrill.net,1729 NJ-10 E,Morris Plains,NJ,07950
43,Thai Kitchen,thaikitchenchester.com,320 US Hwy 206 S,Chester,NJ,07930
44,The Clay Oven Indian Restaurant,theclayoven.com,1140 Rt 46,Ledgewood,NJ,07852
45,Sapori D’Italia,,7 West Main St.,Mendham,NJ,07945
46,NJ Bar & Grill,njbarandgrill.com,100 Randolph Ave,Mine Hill,NJ,07803
47,Asian Diner,asiandinerrestaurantnj.com,1691 Rt 46,Roxbury Township,NJ,07852
48,Indian Aroma,indianaromarestaurant.com,222 Route 46Walgreens Shopping Ctr,Rockaway,NJ,07866
49,Charlotte’s Web Inn,charlotteswebinn.com,39 W Clinton St,Dover,NJ,07801
50,Azteca Mexican Restaurant,,17 E Blackwell St,Dover,NJ,07801
51,Don Jose Mexican Restaurant,donjosemexican.com,124 US 46 E,Netcong,NJ,07857
52,Forte Pizzeria & Ristorante,fortepizzeria.com,486 Rt 10,Randolph,NJ,07869
53,Sergio & Co Italian Specialties,sergioandco.com,28 Broadway,Denville,NJ,07834
54,Blossom Asian Bistro,blossomasianbistronj.com,181 Howard BlvdSte G,Mount Arlington,NJ,07856
55,Chick-fil-A,chick-fil-a.com,1711 Nj-10,Morris Plains,NJ,07950
56,Hummus Grill,,301 Mt Hope Ave,Wharton,NJ,07885
57,Casa De Pasta,casadepastanj.com,1438 Sussex Tpke,Randolph,NJ,07869
58,Bistro 46,bistro46morristown.com,12 Elm St,Morristown,NJ,07960
59,Pop’s Chicken,popschickentogo.com,392 N Main St,Wharton,NJ,07885
60,Redwood’s Grill & Bar,redwoodsgrillandbar.com,459 Main St,Chester,NJ,07930
61,Rocky’s Pasties,rockyspasties.com,47 Robert StRocky's Food Store,Wharton,NJ,07885
62,Tequilas 55,tequilas55.com,55 E Blakwell St,Dover,NJ,07801
63,Café Fiori,cafefiorinj.com,477 Rt 10 E,Randolph,NJ,07869
64,Anthony & Sons Little Italy,anthonyandsonsbakery.com,15 Rte 10 E,Succasunna,NJ,07876
65,Casa Bella,casabella46.com,300 US Hwy 46,Denville,NJ,07834
66,Mizuki Asian Fusion and Hibachi,asianmizukinj.com,1033 Rt 46,Ledgewood,NJ,07852
67,Giancarlos Bakery & Pastry Shop,giancarlosbakery.com,410 Rte 10Ste 10,Ledgewood,NJ,07852
68,Mondo Pizza Restaurant and Catering,mondopizzanj.com,540 Route 10 W,Randolph,NJ,07869
69,Grato,gratorestaurant.com,2230 Rt 10 W,Morris Plains,NJ,07950
70,Pizza Palace,,1169 Sussex Tpke,Randolph,NJ,07869
71,Mostly Grill Indian fusion cuisine,Mostlygrill.com,286 Rte 46 E,Rockaway,NJ,07866
72,Polo’s Bar & Grill,polosbarandgrill.com,50 State Rt 183,Netcong,NJ,07857
73,Delicias Latinas,deliciaslatinasmp.com,643 Speedwell Ave,Morris Plains,NJ,07950
74,Sammy’s Ye Old Cider Mill,sammyscidermill.com,353 Mendham Rd W,Mendham,NJ,07945
75,Taste of India,tasteofindianj.com,286 Route 206 S,Flanders,NJ,07836
76,Bombay Curry Pizza,jimmytomatospizzeria.com/menu.…,123 East Main Street Denville Nj 07834,Denville,NJ,07834
77,Vavo Cafe,vavocafe.com,1250 Sussex Turnpike,Randolph,NJ,07869
78,Dover Grill,,240 Rt 46 E,Dover,NJ,07801
79,Miga Sushi,migasushi.com,559 E Main St,Denville,NJ,07834
80,Saigon Subs & Café,saigonsubscafe.com,98 Elm St,Morristown,NJ,07960
81,Thatcher McGhee’s,thatchermcghees.com/denville,53 Broadway,Denville,NJ,07834
82,Sabor A Mexico,saboramexico.net,6 Wall St,Rockaway,NJ,07866
83,Arthur’s Tavern,arthurstavern.com,700 Speedwell Ave,Morris Plains,NJ,07950
84,Sabor Latino,saborlatinodovernj.net,44 N Morris St,Dover,NJ,07801
85,"A&B Bagel, Deli, and Grill II",abbagel.com,1206 Sussex Tpke,Randolph,NJ,07869
86,Golden Burrito Mexican Spot,orderburrito.com,286 Rte 206 S,Flanders,NJ,07836
87,Code 593 Cafe,,2 S Main St,Wharton,NJ,07885
88,Olive Lucy’s Kitchen Table,olivelucys.com,52 Speedwell Ave,Morristown,NJ,07960
89,Golden Unicorn Restaurant,,265 E Blackwell St,Dover,NJ,07801
90,American Bbq Co Inc,americanbbqco.com,94-1 Ford Rd,Denville,NJ,07834
91,Hibiscus Island Grill,hibiscuscuisine.com,21 Spring St,Morristown,NJ,07960
92,House of Biryani’s and Kebabs,hbkdenville.com,315 US-46,Denville,NJ,07834
93,Tacoria,tacoria.com,52 South St,Morristown,NJ,07960
94,Antimo’s Pizzeria & Restaurant,antimospizzeria.com,1275 Sussex Tpke,Randolph,NJ,07869
95,Aoyama,aoyamanj.com,84 E Main StSte L,Mendham,NJ,07945
96,OoLaLa! Vietnamese Kitchen,oolalavietkitchen.com,2569 Rt 10 E,Morris Plains,NJ,07950
97,Town Bar + Kitchen,townbarandkitchen.com,80 Elm St,Morristown,NJ,07960
98,Yummy Taste Chinese Restaurant,,692 US Highway 46 N,Succasunna,NJ,07876
99,Loving Hut,lovinghut.us,538 Rt 10 W,Roxbury Township,NJ,07852
100,Freshii,freshii.com,1767 Rte 10 E,Morris Plains,NJ,07950
101,La Forchetta,laforchettanj.com,350 N Main StSte 5,Wharton,NJ,07885
102,Jockey Hollow Bar & Kitchen,jockeyhollowbarandkitchen.com,110 South St,Morristown,NJ,07960
103,Sandi’s,sandissoulbites.com,82 Speedwell Ave,Morristown,NJ,07960
104,Redwoods Catering,,459 Main St,Chester,NJ,07930
105,Alonsos Steak House,alonsossteakhouse.com,330 S Salem St,Dover,NJ,07801
106,Chef Fredy’s Table,cheffredystable.com,78 Speedwell Ave,Morristown,NJ,07960
107,Piattino: A Neighborhood Bistro,piattinonj.com,88 E Main St,Mendham,NJ,07945
108,Praderas,,60 N Sussex St,Dover,NJ,07801
109,Brick 46,brick46.com,68 US Hwy 46,Rockaway,NJ,07866
110,Sandwiches Unlimited Lunch Box,sandwichesunlimitedlunchbox.co…,1034 US Hwy 46,Ledgewood,NJ,07852
111,Alfa Bagels,alfabagels.com,587 State Rt 10,Randolph,NJ,07869
112,Dante’s Italian Cuisine & Brick Oven Specialty Pizza,dantesitaliancuisine.com,488 Mt Hope Rd,Wharton,NJ,07885
113,Altoque Colombian food,,7 Bassett Hwy,Dover,NJ,07801
114,Artista Salumeria,artistasalumeria.com,423 Main St,Chester,NJ,07930
